disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,headache,diarrhea,vomiting,body aches,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,fatigue,feverish,general discomfort,joint pain,,,,,,,
norovirus infection,diarrhea,stomach cramps,headache,fatigue,loss of appetite,dehydration,chills,body aches,rashes,general discomfort,,
roseola,high fever,runny nose,sore throat,cough,red eyes,body aches,chills,,,,,
roseola,runny nose,rash,fatigue,headache,cough,red eyes,abdominal pain,body aches,chills,feverish,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,loss of appetite,body aches,feverish,general discomfort,chills,joint pain,,
"hand, foot, and mouth disease",sores in mouth,irritability,mouth sores,sore muscles,difficulty swallowing,,,,,,,
roseola,high fever,irritability,headache,cough,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,chills,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,diarrhea,loss of appetite,abdominal pain,body aches,rashes,chills,feverish
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,bloody stools,stomach cramps,dehydration,loss of appetite,body aches,feverish,rashes,general discomfort,
shigellosis (bacillary dysentery),diarrhea,nausea,stomach cramps,fatigue,muscle aches,feverish,rashes,general discomfort,,,,
roseola,high fever,fatigue,swollen lymph nodes,cough,red eyes,diarrhea,vomiting,abdominal pain,rashes,chills,feverish,
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,fatigue,loss of appetite,muscle aches,feverish,rashes,,,
"hand, foot, and mouth disease",loss of appetite,irritability,mouth sores,red spots,sore muscles,headache,general discomfort,mild fever,,,,
roseola,high fever,runny nose,rash,fatigue,sore throat,vomiting,loss of appetite,chills,feverish,,,
roseola,runny nose,swollen lymph nodes,headache,cough,diarrhea,body aches,,,,,,
norovirus infection,abdominal pain,chills,rashes,fever,,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,headache,dehydration,joint pain,,,,,
shigellosis (bacillary dysentery),fever,stomach cramps,headache,fatigue,muscle aches,feverish,chills,joint pain,,,,
norovirus infection,vomiting,stomach cramps,nausea,headache,fatigue,loss of appetite,dehydration,chills,body aches,general discomfort,fever,irritability
shigellosis (bacillary dysentery),fever,vomiting,headache,fatigue,loss of appetite,muscle aches,body aches,feverish,chills,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,stomach cramps,muscle aches,rashes,chills,,,,,
roseola,high fever,runny nose,rash,irritability,headache,cough,diarrhea,vomiting,loss of appetite,body aches,chills,feverish
norovirus infection,diarrhea,stomach cramps,low-grade fever,nausea,headache,fatigue,chills,sweating,rashes,general discomfort,irritability,
norovirus infection,low-grade fever,fatigue,abdominal pain,loss of appetite,general discomfort,fever,irritability,,,,,
roseola,rash,swollen lymph nodes,sore throat,headache,cough,diarrhea,vomiting,loss of appetite,body aches,chills,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,vomiting,loss of appetite,abdominal pain,body aches,rashes,feverish,
norovirus infection,stomach cramps,low-grade fever,nausea,abdominal pain,loss of appetite,chills,sweating,body aches,general discomfort,fever,,
norovirus infection,low-grade fever,muscle aches,headache,dehydration,chills,sweating,general discomfort,fever,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,loss of appetite,body aches,rashes,general discomfort,chills,,
norovirus infection,stomach cramps,low-grade fever,nausea,headache,loss of appetite,chills,sweating,rashes,fever,irritability,,
roseola,rash,swollen lymph nodes,headache,red eyes,diarrhea,chills,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,body aches,rashes,
roseola,runny nose,rash,fatigue,headache,cough,diarrhea,body aches,chills,,,,
roseola,rash,irritability,swollen lymph nodes,sore throat,headache,cough,diarrhea,abdominal pain,chills,feverish,,
norovirus infection,vomiting,stomach cramps,muscle aches,abdominal pain,loss of appetite,dehydration,chills,body aches,fever,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,fatigue,dehydration,chills,sweating,body aches,rashes
shigellosis (bacillary dysentery),fever,stomach cramps,headache,fatigue,dehydration,muscle aches,body aches,rashes,general discomfort,chills,,
pertussis (whooping cough),whooping cough,fever,"cyanosis (blue lips, tongue, nailbeds)",sneezing,low-grade fever,runny nose,severe coughing fits,vomiting after coughing,,,,
shigellosis (bacillary dysentery),fever,vomiting,bloody stools,headache,dehydration,loss of appetite,body aches,feverish,general discomfort,chills,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,blisters,sore muscles,headache,general discomfort,,,,,
shigellosis (bacillary dysentery),diarrhea,vomiting,fatigue,dehydration,muscle aches,body aches,feverish,rashes,,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,stomach cramps,headache,dehydration,loss of appetite,body aches,rashes,general discomfort,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,stomach cramps,loss of appetite,body aches,feverish,rashes,chills
roseola,high fever,irritability,fatigue,swollen lymph nodes,headache,vomiting,loss of appetite,abdominal pain,chills,,,
norovirus infection,diarrhea,nausea,headache,dehydration,chills,sweating,body aches,irritability,,,,
roseola,fatigue,swollen lymph nodes,headache,cough,loss of appetite,body aches,rashes,feverish,,,,
norovirus infection,diarrhea,vomiting,body aches,rashes,general discomfort,fever,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,headache,abdominal pain,loss of appetite,dehydration,chills,sweating,rashes,general discomfort,fever
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,fatigue,general discomfort,joint pain,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,mouth sores,fatigue,sore muscles,headache,general discomfort,mild fever,,,
norovirus infection,diarrhea,vomiting,muscle aches,abdominal pain,dehydration,sweating,rashes,general discomfort,,,,
norovirus infection,stomach cramps,muscle aches,headache,fatigue,abdominal pain,loss of appetite,dehydration,sweating,body aches,rashes,general discomfort,fever
roseola,irritability,swollen lymph nodes,sore throat,red eyes,diarrhea,abdominal pain,body aches,rashes,feverish,,,
norovirus infection,diarrhea,vomiting,low-grade fever,nausea,headache,abdominal pain,loss of appetite,dehydration,sweating,rashes,general discomfort,fever
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,muscle aches,rashes,chills,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,headache,fatigue,dehydration,loss of appetite,muscle aches,feverish,general discomfort,joint pain,,
roseola,runny nose,swollen lymph nodes,sore throat,cough,loss of appetite,abdominal pain,rashes,feverish,,,,
roseola,high fever,rash,sore throat,cough,diarrhea,vomiting,abdominal pain,rashes,chills,feverish,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,red eyes,diarrhea,abdominal pain,rashes,chills,feverish
norovirus infection,diarrhea,stomach cramps,low-grade fever,nausea,fatigue,loss of appetite,fever,irritability,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,loss of appetite,muscle aches,feverish,general discomfort,chills,joint pain,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,rashes,fever
"hand, foot, and mouth disease",fever,sores in mouth,irritability,sore throat,red spots,fatigue,cough,difficulty swallowing,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,headache,loss of appetite,muscle aches,feverish,rashes,,,,
roseola,fatigue,sore throat,headache,cough,diarrhea,loss of appetite,rashes,,,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,chills,body aches,fever,irritability,,
roseola,irritability,swollen lymph nodes,headache,vomiting,loss of appetite,chills,,,,,,
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,headache,fatigue,dehydration,loss of appetite,rashes,general discomfort,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,loss of appetite,muscle aches,body aches,rashes,general discomfort,joint pain,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,nausea,headache,abdominal pain,loss of appetite,chills,sweating,body aches,rashes,fever,irritability
roseola,runny nose,irritability,fatigue,cough,diarrhea,vomiting,body aches,chills,feverish,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,dehydration,muscle aches,chills,joint pain,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,rashes,general discomfort,chills
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,stomach cramps,headache,loss of appetite,body aches,rashes,joint pain,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,loss of appetite,muscle aches,body aches,feverish,joint pain,,,
"hand, foot, and mouth disease",loss of appetite,sore throat,mouth sores,red spots,blisters,cough,sore muscles,headache,,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,headache,cough,vomiting,body aches,chills,,
roseola,rash,irritability,fatigue,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,rashes,,,
norovirus infection,stomach cramps,muscle aches,fatigue,loss of appetite,chills,sweating,body aches,,,,,
norovirus infection,low-grade fever,nausea,headache,loss of appetite,dehydration,chills,sweating,rashes,fever,irritability,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,sore throat,red spots,sore muscles,headache,general discomfort,,,,
scarlet fever,fever,red lines in body folds,strawberry tongue,fever (100.4�f / 38.0�c or higher),"tender, enlarged neck glands",abdominal pain,headache and body aches,,,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,fatigue,abdominal pain,chills,sweating,body aches,rashes,,
norovirus infection,vomiting,stomach cramps,low-grade fever,fatigue,sweating,body aches,general discomfort,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,headache,abdominal pain,sweating,irritability,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,chills,general discomfort,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,headache,loss of appetite,body aches,rashes,general discomfort,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,stomach cramps,dehydration,,,,,,,
norovirus infection,diarrhea,stomach cramps,nausea,abdominal pain,loss of appetite,dehydration,sweating,,,,,
norovirus infection,stomach cramps,headache,fatigue,loss of appetite,dehydration,sweating,fever,irritability,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,stomach cramps,headache,fatigue,dehydration,loss of appetite,rashes,general discomfort,,,
shigellosis (bacillary dysentery),nausea,vomiting,stomach cramps,dehydration,muscle aches,body aches,general discomfort,,,,,
roseola,runny nose,sore throat,headache,cough,vomiting,rashes,chills,feverish,,,,
roseola,high fever,rash,fatigue,swollen lymph nodes,headache,diarrhea,vomiting,body aches,rashes,chills,,
"hand, foot, and mouth disease",rash on hands and feet,red spots,headache,difficulty swallowing,,,,,,,,
norovirus infection,vomiting,muscle aches,nausea,headache,fatigue,loss of appetite,dehydration,rashes,general discomfort,fever,irritability,
norovirus infection,stomach cramps,low-grade fever,abdominal pain,chills,body aches,general discomfort,irritability,,,,,
roseola,runny nose,irritability,sore throat,headache,cough,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,chills,feverish
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,bloody stools,general discomfort,chills,joint pain,,,,,
roseola,high fever,runny nose,irritability,fatigue,red eyes,abdominal pain,body aches,rashes,,,,
roseola,sore throat,headache,red eyes,diarrhea,rashes,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,dehydration,body aches,rashes,general discomfort,chills,,,,,
norovirus infection,vomiting,stomach cramps,muscle aches,headache,abdominal pain,loss of appetite,sweating,rashes,general discomfort,fever,irritability,
roseola,high fever,runny nose,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,loss of appetite,body aches,chills,,
roseola,fatigue,cough,red eyes,loss of appetite,abdominal pain,body aches,chills,feverish,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,fatigue,muscle aches,body aches,feverish,general discomfort,chills,,,,,
common cold,watering eyes,sore throat,headache,mild fatigue,chills,watery discharge from nose that thickens and turns yellow or green,,,,,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,,,,,,,,
roseola,runny nose,rash,fatigue,headache,cough,red eyes,vomiting,body aches,rashes,chills,,
shigellosis (bacillary dysentery),vomiting,bloody stools,fatigue,dehydration,loss of appetite,feverish,chills,joint pain,,,,
norovirus infection,diarrhea,vomiting,nausea,abdominal pain,loss of appetite,dehydration,chills,sweating,rashes,irritability,,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,cough,diarrhea,vomiting,abdominal pain,body aches,,,
norovirus infection,vomiting,stomach cramps,muscle aches,nausea,abdominal pain,dehydration,chills,sweating,irritability,,,
